url_domain
pinkvilla.com
rajnikantvscidjokes.in
deadspin.com
dorkly.com
kotaku.com
jezebel.com
somethingawful.com
tfln.co
weddingwire.com
gfycat.com
kinja.com
niketalk.com
gothamist.com
imgur.com
netmums.com
crunchbase.com
brobible.com
refinery29.com
pitchfork.com
jalopnik.com
gizmodo.com
teamliquid.net
eater.com
camelcamelcamel.com
romper.com
